token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty,is_cas_enabled
1181,GODFRYPHLP-EQ,GODFRYPHLP,,-1.000000,1,,NSE,10.000000,45390,True
11829,SSWL-EQ,SSWL,,-1.000000,1,,NSE,5.000000,319862,False
1196,KANSAINER-EQ,KANSAINER,,-1.000000,1,,NSE,1.000000,479567,False
11932,FUSION-EQ,FUSION,,-1.000000,1,,NSE,1.000000,490710,False
11971,GOLDIAM-EQ,GOLDIAM,,-1.000000,1,,NSE,5.000000,268142,False
12026,RENUKA-EQ,RENUKA,,-1.000000,1,,NSE,1.000000,4546454,False
12153,BBTCL-EQ,BBTCL,,-1.000000,1,,NSE,1.000000,445975,False
1247,GSFC-EQ,GSFC,,-1.000000,1,,NSE,1.000000,622023,False
12578,FINIETF-EQ,FINIETF,,-1.000000,1,,NSE,1.000000,2098167,False
12848,N1NSETEST-EQ,N1NSETEST,,-1.000000,1,,NSE,5.000000,338900,False
13,ABB-EQ,ABB,,-1.000000,1,,NSE,50.000000,12926,True
13057,UNIPARTS-EQ,UNIPARTS,,-1.000000,1,,NSE,5.000000,122879,False
13182,ROHLTD-EQ,ROHLTD,,-1.000000,1,,NSE,5.000000,325290,False
13218,SULA-EQ,SULA,,-1.000000,1,,NSE,1.000000,662235,False
13251,SAKUMA-EQ,SAKUMA,,-1.000000,1,,NSE,1.000000,51264399,False
13260,KEC-EQ,KEC,,-1.000000,1,,NSE,5.000000,226270,False
1328,MARINE-EQ,MARINE,,-1.000000,1,,NSE,5.000000,288145,False
1333,HDFCBANK-EQ,HDFCBANK,,-1.000000,1,,NSE,5.000000,123206,True
13421,EMKAY-EQ,EMKAY,,-1.000000,1,,NSE,1.000000,405079,False
13463,PIONEEREMB-EQ,PIONEEREMB,,-1.000000,1,,NSE,1.000000,1007395,False
13517,EMAMILTD-EQ,EMAMILTD,,-1.000000,1,,NSE,5.000000,251424,False
13587,ACE-EQ,ACE,,-1.000000,1,,NSE,10.000000,91217,False
13598,ANTELOPUS-EQ,ANTELOPUS,,-1.000000,1,,NSE,5.000000,124650,False
13637,JMFINANCIL-EQ,JMFINANCIL,,-1.000000,1,,NSE,1.000000,770911,False
13753,MANOMAY-EQ,MANOMAY,,-1.000000,1,,NSE,1.000000,461758,False
13761,BBL-EQ,BBL,,-1.000000,1,,NSE,10.000000,43517,False
13821,RUCHIRA-EQ,RUCHIRA,,-1.000000,1,,NSE,1.000000,944355,False
13982,JASH-EQ,JASH,,-1.000000,1,,NSE,5.000000,201714,False
1406,HINDPETRO-EQ,HINDPETRO,,-1.000000,1,,NSE,5.000000,255338,True
14008,AVTNPL-EQ,AVTNPL,,-1.000000,1,,NSE,1.000000,1423246,False
14068,SAGCEM-EQ,SAGCEM,,-1.000000,1,,NSE,1.000000,570930,False
14139,SBGLP-EQ,SBGLP,,-1.000000,1,,NSE,1.000000,3892505,False
14260,PGIL-EQ,PGIL,,-1.000000,1,,NSE,10.000000,40314,False
14314,TTL-EQ,TTL,,-1.000000,1,,NSE,1.000000,8446767,False
14319,TFL-EQ,TFL,,-1.000000,1,,NSE,1.000000,1802299,False
14418,ASTRAL-EQ,ASTRAL,,-1.000000,1,,NSE,10.000000,68237,True
1448,HLVLTD-EQ,HLVLTD,,-1.000000,1,,NSE,1.000000,14005317,False
14459,LEXUS-EQ,LEXUS,,-1.000000,1,,NSE,1.000000,679856,False
14466,KIRLFER-EQ,KIRLFER,,-1.000000,1,,NSE,5.000000,228086,False
14557,AROGRANITE-EQ,AROGRANITE,,-1.000000,1,,NSE,1.000000,500310,False
14567,BFUTILITIE-EQ,BFUTILITIE,,-1.000000,1,,NSE,5.000000,178506,False
14599,GSLSU-EQ,GSLSU,,-1.000000,1,,NSE,1.000000,1385885,False
14672,NAVINFLUOR-EQ,NAVINFLUOR,,-1.000000,1,,NSE,50.000000,11947,False
14712,HGS-EQ,HGS,,-1.000000,1,,NSE,5.000000,245813,False
14745,ADVANIHOTR-EQ,ADVANIHOTR,,-1.000000,1,,NSE,1.000000,1993158,False
14747,011NSETEST-EQ,011NSETEST,,-1.000000,1,,NSE,5.000000,500000,False
14788,SPARC-EQ,SPARC,,-1.000000,1,,NSE,1.000000,494212,False
14858,GOLD1-EQ,GOLD1,,-1.000000,1,,NSE,1.000000,791821,False
1494,RBA-EQ,RBA,,-1.000000,1,,NSE,1.000000,1065443,False
14937,CIEINDIA-EQ,CIEINDIA,,-1.000000,1,,NSE,5.000000,242791,False
15179,ECLERX-EQ,ECLERX,,-1.000000,1,,NSE,10.000000,55207,False
15228,UJJIVANSFB-EQ,UJJIVANSFB,,-1.000000,1,,NSE,1.000000,1381131,False
15234,AMBIKCO-EQ,AMBIKCO,,-1.000000,1,,NSE,10.000000,62980,False
15244,KAVDEFENCE-EQ,KAVDEFENCE,,-1.000000,1,,NSE,1.000000,1706747,False
15295,VIRINCHI-EQ,VIRINCHI,,-1.000000,1,,NSE,1.000000,3585453,False
15308,SEPC-EQ,SEPC,,-1.000000,1,,NSE,1.000000,16582427,False
15355,RECLTD-EQ,RECLTD,,-1.000000,1,,NSE,5.000000,287021,True
15404,ATAM-EQ,ATAM,,-1.000000,1,,NSE,1.000000,374840,False
15409,NESCO-EQ,NESCO,,-1.000000,1,,NSE,10.000000,95755,False
1547,RKEC-EQ,RKEC,,-1.000000,1,,NSE,1.000000,844333,False
15649,ATALREAL-EQ,ATALREAL,,-1.000000,1,,NSE,1.000000,2829542,False
1630,IONEXCHANG-EQ,IONEXCHANG,,-1.000000,1,,NSE,5.000000,265319,False
16658,SIGMA-EQ,SIGMA,,-1.000000,1,,NSE,1.000000,2171532,False
16675,BAJAJFINSV-EQ,BAJAJFINSV,,-1.000000,1,,NSE,10.000000,48016,True
16705,GOKUL-EQ,GOKUL,,-1.000000,1,,NSE,1.000000,2529718,False
16725,RPGLIFE-EQ,RPGLIFE,,-1.000000,1,,NSE,10.000000,38271,False
16783,GVT&D-EQ,GVT&D,,-1.000000,1,,NSE,10.000000,22532,True
16913,ARTEMISMED-EQ,ARTEMISMED,,-1.000000,1,,NSE,5.000000,316137,False
17603,MAHEPC-EQ,MAHEPC,,-1.000000,1,,NSE,1.000000,913989,False
17613,SENSEXADD-EQ,SENSEXADD,,-1.000000,1,,NSE,1.000000,16598,False
17738,YATHARTH-EQ,YATHARTH,,-1.000000,1,,NSE,5.000000,115047,False
17851,DLINKINDIA-EQ,DLINKINDIA,,-1.000000,1,,NSE,5.000000,234758,False
17859,REDTAPE-EQ,REDTAPE,,-1.000000,1,,NSE,1.000000,794384,False
17939,HINDCOPPER-EQ,HINDCOPPER,,-1.000000,1,,NSE,5.000000,181800,False
18029,MBLINFRA-EQ,MBLINFRA,,-1.000000,1,,NSE,1.000000,4069938,False
17903,ABBOTINDIA-EQ,ABBOTINDIA,,-1.000000,1,,NSE,500.000000,3548,False
17927,BAYERCROP-EQ,BAYERCROP,,-1.000000,1,,NSE,10.000000,24268,False
17987,TRF-EQ,TRF,,-1.000000,1,,NSE,1.000000,359844,False
18049,MINDTECK-EQ,MINDTECK,,-1.000000,1,,NSE,1.000000,553542,False
181,ARENTERP-EQ,ARENTERP,,-1.000000,1,,NSE,1.000000,101641,False
18883,SJVN-EQ,SJVN,,-1.000000,1,,NSE,1.000000,1489392,False
19111,NBIFIN-EQ,NBIFIN,,-1.000000,1,,NSE,10.000000,47493,False
19142,UMESLTD-EQ,UMESLTD,,-1.000000,1,,NSE,1.000000,863797,False
193,ARVIND-EQ,ARVIND,,-1.000000,1,,NSE,5.000000,176157,False
19289,MOM50-EQ,MOM50,,-1.000000,1,,NSE,1.000000,107082,False
10159,ORICONENT-EQ,ORICONENT,,-1.000000,1,,NSE,1.000000,1898863,False
19401,BOROLTD-EQ,BOROLTD,,-1.000000,1,,NSE,1.000000,413892,False
10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000,442385,False
10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1.000000,1,,NSE,1.000000,1381780,False
10406,STEELCITY-EQ,STEELCITY,,-1.000000,1,,NSE,1.000000,494002,False
19543,HDFCGOLD-EQ,HDFCGOLD,,-1.000000,1,,NSE,1.000000,773498,False
19597,IRMENERGY-EQ,IRMENERGY,,-1.000000,1,,NSE,5.000000,338783,False
1044,BNKETFAXIS-EQ,BNKETFAXIS,,-1.000000,1,,NSE,1.000000,168607,False
10453,SATIN-EQ,SATIN,,-1.000000,1,,NSE,1.000000,447517,False
10485,RAMRAT-EQ,RAMRAT,,-1.000000,1,,NSE,5.000000,210968,False
10515,SENSEXBETA-EQ,SENSEXBETA,,-1.000000,1,,NSE,1.000000,115350,False
10590,LOYALTEX-EQ,LOYALTEX,,-1.000000,1,,NSE,1.000000,157497,False
10599,GUJENERGY-EQ,GUJENERGY,,-1.000000,1,,NSE,5.000000,364453,False
19813,HONASA-EQ,HONASA,,-1.000000,1,,NSE,5.000000,213871,False
10791,NUCLEUS-EQ,NUCLEUS,,-1.000000,1,,NSE,5.000000,144341,False
19931,ORISSAMINE-EQ,ORISSAMINE,,-1.000000,1,,NSE,10.000000,20658,False
10932,RADAAN-EQ,RADAAN,,-1.000000,1,,NSE,1.000000,1771082,False
1994,LIBERTSHOE-EQ,LIBERTSHOE,,-1.000000,1,,NSE,5.000000,415963,False
20110,GREENPOWER-EQ,GREENPOWER,,-1.000000,1,,NSE,1.000000,10482131,False
11072,AGRITECH-EQ,AGRITECH,,-1.000000,1,,NSE,1.000000,194238,False
11195,INDIGO-EQ,INDIGO,,-1.000000,1,,NSE,50.000000,18559,True
20302,PRESTIGE-EQ,PRESTIGE,,-1.000000,1,,NSE,10.000000,62886,True
11236,JSL-EQ,JSL,,-1.000000,1,,NSE,5.000000,135204,False
11265,TVSELECT-EQ,TVSELECT,,-1.000000,1,,NSE,5.000000,220204,False
2031,M&M-EQ,M&M,,-1.000000,1,,NSE,10.000000,28601,True
11309,BALAXI-EQ,BALAXI,,-1.000000,1,,NSE,1.000000,1805285,False
11351,PETRONET-EQ,PETRONET,,-1.000000,1,,NSE,5.000000,357000,True
20323,RESPONIND-EQ,RESPONIND,,-1.000000,1,,NSE,1.000000,598002,False
11411,RKFORGE-EQ,RKFORGE,,-1.000000,1,,NSE,5.000000,134376,False
2043,RAMCOCEM-EQ,RAMCOCEM,,-1.000000,1,,NSE,5.000000,108930,False
11423,DATAMATICS-EQ,DATAMATICS,,-1.000000,1,,NSE,5.000000,115848,False
1145,GIPCL-EQ,GIPCL,,-1.000000,1,,NSE,1.000000,574454,False
2049,CHENNPETRO-EQ,CHENNPETRO,,-1.000000,1,,NSE,10.000000,72370,False
